Event ID,HPD Area 50% (sr),HPD Area 90% (sr),RA (deg),DEC (deg)
1,0.564,1.71,58.54,9.59
2,0.94,3.02,246.8,-8.23
3,1.26E-03,4.19E-03,128.32,-34.41
4,0.0421,0.141,152.23,-38.11
7,1.1,3.18,287.4,7.48
8,0.00187,0.00622,180,-21.22
9,1.93,5.78,158.7,44.4
10,0.0308,0.102,6.68,-5.83
11,0.345,1.12,125.33,12.94
12,0.0881,0.296,291.65,-45.19
13,0.0269,0.0893,84.73,29.83
14,0.0445,0.148,266.66,-27.95
15,0.219,0.536,12.2,-59.3
16,0.787,2.2,22.32,-15.4
17,0.0309,0.103,252.42,10.66
18,0.00358,0.0119,347.34,-24.79
19,0.265,0.887,96.27,-75.52
20,0.044,0.148,43.78,-55.87
21,0.99,2.72,3.52,-17.11
22,0.0367,0.123,286.52,-9.44
23,1.69,5.65,206.72,-29.83
24,0.202,0.66,263.85,-5.98
25,1.66,4.59,74.18,-7.63
26,0.279,0.915,144.14,11.57
27,0.0785,0.259,117.42,-20.9
28,0.00232,0.00772,167.8,-70.35
29,0.071,0.235,301.11,40.62
30,0.0739,0.247,133.62,-78.1
31,1.61,4.09,205.63,46.96
33,0.0126,0.0419,332.75,2.39
34,2.24,5.55,29.18,16.49
35,0.0565,0.19,242.88,-62.13
36,0.427,1.17,291.09,6.43
37,0.000543,0.00184,168.75,20.58
38,5.59E-04,1.85E-03,93.34,16.33
39,0.218,0.655,148.71,-24.13
40,0.0852,0.292,155.39,-32.62
41,0.103,0.342,69.61,-5.83
43,0.842,2.38,265.25,-18.21
44,0.00975,0.0324,338.55,1.04
45,0.000144,0.000479,222.75,-86.34
46,0.0461,0.152,152.23,-16.49
47,0.171,0.555,188.7,50.48
48,0.0923,0.306,202.15,-7.33
49,1.18,3.24,174.55,-26.28
50,0.806,3.22,149.4,76.26
51,0.448,1.73,90.79,58.54
52,0.113,0.333,242.1,-43.01
54,0.0916,0.311,171.74,12.64
56,0.0797,0.27,280.79,-48.73
57,0.574,1.93,100.55,-40.03
58,0.05,0.168,103.01,-33.33
59,0.0273,0.0908,59.06,19.63
60,0.549,1.76,53.26,-30.35
64,0.15,0.515,153.63,-29.83
65,2.09,6.55,254.36,-13.25
66,0.446,1.25,161.78,67.75
67,0.0431,0.145,343.83,3.13
68,0.0761,0.256,293.38,-17.9
70,0.0992,0.332,95.98,-22.83
71,0.000272,0.000911,80.68,-20.74
72,0.442,1.81,231.33,28.46
74,0.00475,0.0158,344.53,1.04
75,0.514,1.8,228.93,56.06
76,0.00141,0.0047,239.41,-0.15
77,0.193,0.659,273.52,-26.78
78,3.28E-03,0.0109,358.95,7.63
79,0.257,0.793,4.04,-5.08
80,0.342,0.988,202.32,10.5
81,3.98E-03,0.0132,106.17,6.73
82,0.000144,0.000479,241.35,9.29
83,1.09,2.89,325.02,-25.28
84,0.13,0.427,167.34,-19.63
85,0.049,0.163,119.88,-5.23
86,0.000208,0.000719,214.45,-0.15
87,0.00118,0.00396,199.86,-33.15
88,0.0356,0.119,137.11,36.24
89,0.00125,0.00414,293.03,14.48
90,0.388,1.19,157.68,-0.6
91,0.00169,0.00567,40.78,12.79
92,0.11,0.368,344,-12.94
93,0.0425,0.141,30.76,7.18
94,1.32,3.45,220.08,14.32
95,0.251,0.706,281.07,15.4
96,0.167,0.475,75.41,-29.31
97,0.107,0.347,47.11,-28.46
98,0.14,0.46,121.54,-48.14
99,2.24E-04,7.51E-04,305.33,-26.61
100,0.136,0.463,234.49,-38.49
101,1.8,4.96,339.96,-7.33
102,2.08E-04,6.87E-04,221.48,-25.45
103,0.0345,0.115,205.96,-85.25
104,0.209,0.694,120.1,-61.57
105,0.0322,0.107,343.83,-1.64
106,4.27E-03,0.0142,230.27,24.79
107,0.193,0.643,230.1,5.68
108,0.418,1.29,88.63,59.68
109,0.0861,0.286,118.68,-54.15
110,1.61E-03,5.37E-03,163.12,-15.56
111,0.0902,0.303,51.86,-70.72
112,1.25,3.72,44.47,28.97
113,0.0723,0.245,348.55,58.73
