E-2,,E-2.5,,E-3,,Prompt,,conv,
X,Y,X,Y,X,Y,X,Y,X,Y
1033072.4070342319,1.6350680706011806,1051408.9140099671,0.8474286226684,1022360.3369397876,0.440619926633572,1034092.0845369711,0.1797464535568319,1090959.7087926154,0.004644520516260263
1100746.2086894047,1.573298994017448,1120299.955295681,0.7896623133527451,1088812.3872597117,0.38186026673174167,1101860.490109352,0.16345807654434638,1162480.8927598419,0.004017399255393258
1172855.8303973465,1.5061101978272016,1193704.91643331,0.7358337356674483,1160169.5062914258,0.3454781475826113,1174070.7178722331,0.14845504198470416,1238691.5760925733,0.003470496558612263
1249685.0355043288,1.4529382189095075,1271919.5611687524,0.6856744679221431,1236205.2591979762,0.3113610159918246,1251012.5122918743,0.13500224975764263,1319897.77223195,0.00300189658794749
1331551.6042491687,1.3908895109153243,1355262.1418247148,0.6356621000306097,1317223.5247040666,0.28097350875843013,1332998.1554020434,0.12245374963737982,1406430.914469044,0.002583270552152489
1418776.3497481376,1.3417853033627005,1444060.7787847854,0.593853845449563,1403552.3601922968,0.2532264276798962,1420359.206940007,0.11064472483777772,1498633.7734382898,0.0022344672946031235
1511718.3160115362,1.2877853683742215,1538682.0371347847,0.5512459338019551,1495539.056853655,0.22821946438606303,1513447.398891077,0.09971818530544968,1596880.3555108646,0.0019352434099704832
1610750.6224923825,1.2327896244110639,1639500.478307744,0.5136693848523441,1593553.508322266,0.20594621799796992,1612630.900216381,0.09056553031286163,1701568.7072067687,0.0016739393026689088
1716264.6053232823,1.1892670030160937,1746923.803459951,0.47926912379920433,1697992.592563911,0.18560833477951982,1718318.3166727265,0.08183169736270075,1813119.1824514086,0.0014497773191869316
1828694.5926678968,1.1414051426380836,1861389.9886464558,0.44488245334360815,1809280.6072822674,0.16642217163267997,1830930.0968558046,0.07413019728573085,1931988.1611015971,0.0012476002907198397
1943996.9873292006,1.0996962343106098,1982208.5426431748,0.41508882930393365,1927851.4843683953,0.15114707697060384,1946424.5752573716,0.06734342822544157,2046806.8993169803,0.0010805305795812358
2076124.0829301188,1.0608723653327705,2113302.686932298,0.38828604873416256,2066084.8935627057,0.13552314240230598,2078782.481914594,0.06052187940345681,2180960.281139253,0.0009651133326499391
2212129.207824745,1.0168715727334192,2251767.8900069436,0.3632139556595864,2201490.4439281486,0.12245374963737982,2215012.5746218106,0.055108164401393794,2323930.439325187,0.000842334957692457
2357034.449354426,0.9834934610521924,2399304.062564149,0.3401972143724888,2345764.7216618764,0.11121430600383787,2360173.0227428,0.050050049730576425,2476271.409366743,0.0007361203431239796
2511433.1307352395,0.9499907163994938,2556503.8947610934,0.31945813427067843,2499495.4217155986,0.10087690248078955,2514847.977005523,0.04539788240602602,2638600.323914208,0.0006424736630457464
2675942.702697893,0.9199881157684121,2724006.4164173063,0.29921418407549794,2663297.8741257987,0.09173557597923876,2679655.009984019,0.04133701715422164,2811557.6088932757,0.0005665284508075531
2851236.529606759,0.8852331001205744,2902480.399038147,0.28097350875843013,2837831.7350792326,0.08363707140710536,2855264.0782924485,0.03759111337333477,2995845.1761057866,0.000502132189946282
3038006.4147108947,0.8561759309833571,3092646.0319687333,0.26418372437673165,3023852.4620261397,0.07352997406353363,3042383.2928095325,0.03414080498234767,3192195.656969171,0.00045022724651239284
3237014.350642004,0.8259493455596874,3295274.77742023,0.2477603297857542,3221977.5805012435,0.06878205597710706,3241759.7530068597,0.031126821995982254,3401385.8667593272,0.0004115359417234585
3449044.6712702713,0.803981790456198,3511167.5815626145,0.2341544398703385,3416177.400871168,0.06346574449199019,3454201.9478783114,0.028378916316428936,3624236.8678629217,0.0003874413237157479
3674967.5788222766,0.7805918991875732,3741181.186906675,0.22444263920361068,3658074.0437328834,0.05831030576886561,3680553.447586464,0.02607364494099433,3861613.247428191,0.00038102952114637173
3915655.4344828976,0.7726168116345872,4525232.891817928,0.24210124719967835,3897725.5255962536,0.055439275427481054,3921701.6164820963,0.024452736006118612,4114409.6129833083,0.00040162019355917454
4445072.905075447,0.8721119286640239,4821213.010775874,0.2878366604250684,4714632.518687121,0.05846019912610536,4178592.1805294375,0.02365009172417666,4383563.930412353,0.0004667038408700632
4729540.5956060635,1.0228803206466572,5472395.462732556,0.4275266762689667,5023040.382985303,0.06828354617550006,4452215.841228688,0.023986405581024564,4670135.456309554,0.0005940851516970818
4981419.055652168,1.1776763655100253,5830342.321371219,0.5051686223368239,5351542.9516409505,0.08246439441032186,4743593.746787427,0.02627523819527784,4975327.186411829,0.000796077686739596
5283525.851889615,1.3766791845749864,6211944.598549521,0.5470165730296659,5701581.633090928,0.09756568737030208,5053916.402437019,0.03041585565012025,5300463.09008127,0.0010667489020964502
5629054.2626091195,1.6689972071150125,6618815.476632334,0.5365845922905539,6074693.665025265,0.10811749363772206,5384450.590010174,0.03654437191593101,5646972.830015102,0.0013596496436905337
5997340.978036451,1.9049195687695453,7052695.661817601,0.46952603527938774,6472508.036243319,0.10853465414650196,5736674.628745363,0.04268509763015523,6016414.631989032,0.0015618361664941197
6389990.78296057,1.9797083553743822,7515358.327182023,0.37122719587391195,6896702.457573381,0.097942134792578,6112118.206991195,0.046698215209721367,6410338.9389828015,0.0016086354967865897
6808636.608198064,1.8709916210564048,7962524.430913426,0.2773502581542982,7349081.256722238,0.07863927499047116,6512420.758216805,0.04628048291610492,6830458.929800091,0.001451639532989434
7255039.115535661,1.5977215540971499,8387806.072488381,0.20618134286387654,7808848.647943652,0.05855783637324892,6939274.756440597,0.04117813544733181,7278500.934135478,0.0011625556481762705
7731006.718790292,1.25192640564737,8861374.099970907,0.1510307090602873,8249777.25906718,0.04233948156844938,7394479.951513064,0.03272477933374672,7711615.725399507,0.000858099001828495
8238379.786843402,0.9342692315101773,9388631.722330227,0.11275238932868505,8690529.128742307,0.030454924288770394,7834464.739624459,0.024372651204345362,8076811.066217969,0.0006333493732695196
8779000.54835625,0.7062202246319719,9823376.385676214,0.0916178943841274,9154802.897420129,0.022044233286061178,8252970.302999675,0.0178085465755944,8410684.936923048,0.00046422849140694515
9354958.533004254,0.5519539996358687,5131156.2522838535,0.34191397263890727,9694343.013653785,0.01681474479129775,8693929.332361115,0.012689725736952772,8733173.340257183,0.0003376463421524062
9778462.141320407,0.478040266233518,3984563.315575233,0.22056919479636344,4137568.3322538864,0.05247017016439536,9158429.692506015,0.009084899127792747,9041877.380968774,0.00024806903229498576
4196812.938121596,0.7971347254931457,4238287.211305336,0.22056919479636344,4414610.379715292,0.0532693041966756,9647612.169684902,0.00671143538072354,9361582.224786451,0.00017843684705299087
,,,,,,9930581.260373052,0.0056742525853906356,9720628.437641207,0.00012689141811760918
,,,,,,,,10005737.126371887,0.00010732976531237749
,,,,,,,,1026336.9686875511,0.005353837778098835
