E_nu [GeV],sigma_CC [cm2],sigma_NC [cm2],sigma_tot [cm2]
1.00E+01,7.9880E-38,2.4920E-38,1.0480E-37
2.50E+01,1.9320E-37,6.0330E-38,2.5350E-37
6.00E+01,4.4500E-37,1.3910E-38,5.8410E-37
1.00E+02,7.2210E-37,2.2610E-37,9.4820E-37
2.50E+02,1.7280E-36,5.4300E-37,2.2710E-36
6.00E+02,3.9640E-36,1.2550E-36,5.2190E-36
1.00E+03,6.3990E-36,2.0390E-36,8.4380E-36
2.50E+03,1.4720E-35,4.7810E-36,1.9500E-35
6.00E+03,3.0960E-35,1.0350E-35,4.1310E-35
1.00E+04,4.6170E-35,1.5750E-35,6.1920E-35
2.50E+04,8.8240E-35,3.1390E-35,1.1960E-34
6.00E+04,1.5140E-34,5.6150E-35,2.0760E-34
1.00E+05,2.0220E-34,7.6670E-35,2.7890E-34
2.50E+05,3.2550E-34,1.2800E-34,4.5350E-34
6.00E+05,4.9850E-34,2.0170E-34,7.0020E-34
1.00E+06,6.3420E-34,2.6000E-34,8.9420E-34
2.50E+06,9.6010E-34,4.0180E-34,1.3620E-33
6.00E+06,1.4120E-33,6.0010E-34,2.0120E-33
1.00E+07,1.7490E-33,7.4820E-34,2.4970E-33
2.50E+07,2.5540E-33,1.1040E-33,3.6580E-33
6.00E+07,3.6300E-33,1.5810E-33,5.2110E-33
1.00E+08,4.4360E-33,1.9390E-33,6.3750E-33
2.50E+08,6.2830E-33,2.7630E-33,9.0460E-33
6.00E+08,8.6990E-33,3.8370E-33,1.2540E-32
1.00E+09,1.0490E-32,4.6410E-33,1.5130E-32
2.50E+09,1.4660E-32,6.4900E-33,2.1150E-32
6.00E+09,2.0100E-32,8.9310E-33,2.9030E-32
1.00E+10,2.3790E-32,1.0660E-32,3.4450E-32
2.50E+10,3.2890E-32,1.4650E-32,4.7540E-32
6.00E+10,4.4270E-32,1.9950E-32,6.4220E-32
1.00E+11,5.3570E-32,2.3770E-32,7.7340E-32
2.50E+11,7.3200E-32,3.2470E-32,1.0570E-31
6.00E+11,9.9270E-32,4.3770E-32,1.4300E-31
1.00E+12,1.1790E-31,5.1960E-32,1.6990E-31
