E_nu [GeV],sigma_CC [cm2],sigma_NC [cm2],sigma_tot [cm2]
1.00E+01,3.9360E-38,1.3810E-38,5.3170E-38
2.50E+01,9.7260E-38,3.4030E-38,1.3130E-37
6.00E+01,2.2870E-37,7.9820E-38,3.0850E-37
1.00E+02,3.7470E-37,1.3070E-37,5.0540E-37
2.50E+02,9.1540E-37,3.1930E-37,1.2350E-36
6.00E+02,2.1530E-36,7.5310E-37,2.9060E-36
1.00E+03,3.5420E-36,1.2430E-36,4.7850E-36
2.50E+03,8.5480E-36,3.0260E-36,1.1570E-35
6.00E+03,1.9220E-35,6.8960E-36,2.6120E-35
1.00E+04,3.0080E-35,1.0910E-35,4.0990E-35
2.50E+04,6.3550E-35,2.3580E-35,8.7130E-35
6.00E+04,1.1990E-34,4.5700E-35,1.6560E-34
1.00E+05,1.6830E-34,6.5150E-35,2.3340E-34
2.50E+05,2.9090E-34,1.1580E-34,4.0670E-34
6.00E+05,4.6670E-34,1.9010E-34,6.5680E-34
1.00E+06,6.0510E-34,2.4930E-34,8.5440E-34
2.50E+06,9.3650E-34,3.9290E-34,1.3290E-33
6.00E+06,1.3930E-33,5.9300E-34,1.9860E-33
1.00E+07,1.7340E-33,7.4230E-34,2.4760E-33
2.50E+07,2.5420E-33,1.1000E-33,3.6420E-33
6.00E+07,3.6220E-33,1.5780E-33,5.2000E-33
1.00E+08,4.4300E-33,1.9370E-33,6.3670E-33
2.50E+08,6.2780E-33,2.7620E-33,9.0400E-33
6.00E+08,8.6960E-33,3.8360E-33,1.2530E-32
1.00E+09,1.0500E-32,4.6410E-33,1.5140E-32
2.50E+09,1.4640E-32,6.4890E-33,2.1130E-32
6.00E+09,2.0110E-32,8.9310E-33,2.9040E-32
1.00E+10,2.4060E-32,1.0660E-32,3.4720E-32
2.50E+10,3.2860E-32,1.4650E-32,4.7510E-32
6.00E+10,4.4810E-32,1.9950E-32,6.4760E-32
1.00E+11,5.3350E-32,2.3770E-32,7.7120E-32
2.50E+11,7.3060E-32,3.2470E-32,1.0550E-31
6.00E+11,9.8540E-32,4.3770E-32,1.4230E-31
1.00E+12,1.1650E-31,5.1950E-32,1.6850E-31
