No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,MRK 0544,00h04m48.5841s,-01d29m52.730s,1.2024341,-1.4979806,0.023716,7109.877933928,SUN,G,"IR,Radio,UV",32,0,43,8,8,5,0,3,2,0
2,VV 721,00h17m05.5986s,-06d22m20.671s,4.2733278,-6.3724086,0.026648,7988.869420784,SUN,G,"IR,UV",22,1,34,9,3,6,0,3,2,1
3,MCG -02-02-034,00h30m32.7900s,-11d24m11.000s,7.636625,-11.40305555556,0.016705,5008.03301089,SLS,G,UV,6,1,5,6,1,2,0,1,1,1
4,CGCG 409-025,00h31m09.4216s,+04d30m11.523s,7.7892569,4.5032009,0.042036,12602.075764488,S1L,G,"IR,Radio",15,0,35,8,5,6,0,4,2,3
5,MRK 0553,00h36m24.8356s,+03d11m00.425s,9.1034818,3.1834516,0.0150539996,4513.07554281502,SUN,GPair,"IR,UV",20,0,25,5,3,0,0,1,1,0
6,UGC 00409,00h39m24.2863s,+04d34m08.824s,9.851193,4.569118,0.017305,5187.90848569,S1L,GPair,IR,19,1,14,7,6,5,0,9,1,3
7,MCG +06-05-021,01h51m45.4595s,+36d08m02.307s,27.9394146,36.1339743,0.015,4496.88687,UUN,G,"IR,UV",11,0,26,5,2,2,0,1,1,0
8,MRK 0365,02h04m18.5458s,+28d39m19.057s,31.0772745,28.6552936,0.0171818865436568,5151.0,UUN,G,"IR,Radio,UV",46,1,54,17,13,4,0,2,3,1
9,UGC 01696,02h12m28.2317s,+29d51m26.752s,33.1176324,29.8574312,0.01969,5902.91349802,S1L,G,IR,25,0,38,11,8,7,0,9,2,3
10,ESO 114- G 031,02h12m53.8020s,-61d47m29.998s,33.224175,-61.7916661,0.04852,14545.93006216,SLS,G,"IR,UV",17,1,38,12,4,17,0,5,3,0
11,NGC 1140,02h54m33.5488s,-10d01m41.483s,43.6397869,-10.0281899,0.00500700017,1501.06088817072,SUN,G,"IR,Radio,UV",290,9,140,50,42,7,10,37,21,9
12,CGCG 524-035,02h55m28.8705s,+36d12m02.861s,43.8702939,36.2007948,0.02904,8705.97298032,S1L,G,"IR,UV",11,0,37,7,3,4,0,5,2,2
13,MCG +01-08-021,02h56m04.3971s,+08d01m46.774s,44.0183216,8.0296597,0.0254342622588591,7625.0,SUN,G,"IR,Radio,UV",8,0,32,7,2,4,0,1,2,1
14,UGC 02456,02h59m58.5910s,+36d49m13.794s,44.9941293,36.8204985,0.0123118507537638,3691.0,SLS,G,"IR,Radio,UV,Xray",339,14,216,49,44,11,1,8,6,16
15,KUG 0259-007,03h01m44.4362s,-00d35m33.595s,45.4351511,-0.5926654,0.031501442,9443.89472772444,SLS,G,"IR,Radio,Vis",33,0,49,24,18,7,0,1,2,3
16,NGC 1522,04h06m07.8992s,-52d40m08.206s,61.5329135,-52.6689462,0.002997,898.477996626,S1L,G,"IR,Radio,UV",70,3,96,28,12,17,0,12,22,0
17,MCG +00-11-045,04h17m28.7895s,+02d13m33.765s,64.3699563,2.226046,0.022944,6878.438156352,PUN,G,"IR,UV",5,0,29,6,1,4,0,1,2,0
18,MCG -02-12-012,04h24m11.4625s,-12d16m18.709s,66.0477605,-12.2718636,0.020748,6220.093918584,SUN,G,IR,12,0,27,7,4,3,0,1,2,1
19,ESO 015- G 012,04h36m18.6084s,-77d32m16.285s,69.077535,-77.53785694444,,,,G,IR,7,1,10,4,0,12,0,3,3,0
20,UGC 03141,04h43m08.6000s,+00d44m47.000s,70.78583333333,0.74638888889,0.0165849999,4972.05788595075,SUN,GPair,"IR,Radio",18,2,8,5,1,3,0,2,2,0
21,NGC 1796,05h02m42.6293s,-61d08m23.919s,75.6776222,-61.1399775,0.003381,1013.598300498,S1L,G,"IR,Radio,UV",89,5,78,24,15,17,1,17,20,1
22,ESO 422- G 027,05h05m07.0601s,-31d47m03.340s,76.2794171,-31.7842613,0.013166,3947.067502028,S1L,G,"IR,Radio,UV",40,1,65,16,13,18,9,15,8,4
23,MCG -04-13-001,05h05m57.4330s,-24d26m21.765s,76.4893043,-24.4393794,0.0340702366835392,10214.0,UUN,GPair,IR,10,0,13,6,1,1,0,1,1,0
24,ESO 362- G 015,05h19m16.9088s,-37d08m34.992s,79.820453441,-37.14305346998,0.0158309992,4746.01416276403,SUN,G,"IR,Radio",14,1,11,5,1,12,0,5,3,1
25,ESO 487- G 020,05h32m23.8756s,-25d13m55.286s,83.0994818,-25.2320239,0.006428,1927.065920024,S1L,G,"IR,Radio,UV",15,1,35,12,6,13,0,4,3,1
26,ESO 253- G 031,05h51m17.5654s,-46d35m07.445s,87.8231892,-46.5854014,0.047216,14155.000696928,SLS,G,"IR,UV",7,1,37,7,1,13,0,3,4,1
27,VV 601,05h56m16.5168s,+48d32m35.736s,89.06882,48.54326,0.019343,5798.885515094,S1L,G,"IR,Radio,UV",34,0,46,15,10,6,3,9,2,2
28,ESO 162- G 010,07h06m38.8865s,-54d09m06.404s,106.6620272,-54.1517789,0.047556,14256.930132648,SLS,G,IR,7,1,27,5,1,3,0,3,1,1
29,ESO 122-IG 016,07h12m03.4300s,-60d30m26.600s,108.01429166667,-60.50738888889,0.032399,9712.975846742,SLS,G,Xray,17,2,7,4,2,14,0,5,2,1
30,ESO 123-IG 002,07h19m05.2596s,-59d00m33.718s,109.7719151,-59.0093661,0.031088,9319.947934304,SLS,G,IR,18,1,33,11,7,11,1,4,4,1
31,UGC 03856,07h26m57.1018s,+20d22m15.866s,111.7379244,20.3710741,0.02837,8505.11203346,SUN,G,"IR,UV",26,0,35,10,5,7,3,8,2,1
32,SBS 0831+571,08h35m38.6800s,+56d56m27.700s,128.91116666667,56.94102777778,,,,GPair,,5,0,0,2,0,2,0,1,1,0
