G,HST,CNOC2,RAJ2000,DEJ2000,z,Rcmag,RcMag,B/T,Asym,(B-Rc)0,EW([OII])
GinP,01A,0223-100810,02 26 53.50,+00 02 48.0,0.13358,17.0,-21.2,0.69,0.04,1.52,
GinP,01B,0223-100778,02 26 53.07,+00 02 38.6,0.13319,19.2,-19.0,0.67,0.08,1.18,
GinP,04A,0223-140091,02 25 22.94,+00 07 12.4,0.26742,18.8,-20.9,0.01,0.25,0.84,-27.7
GinP,04B,0223-140075,02 25 23.20,+00 07 09.2,0.26644,20.6,-19.1,0.46,0.09,0.9,-25.9
GinP,05A,0223-062160,02 25 50.10,+01 00 41.5,0.4719,18.8,-22.9,0.58,0.06,1.76,2.2
GinP,05B,0223-062166,02 25 50.25,+01 00 42.0,0.4718,20.1,-20.9,0.4,0.06,2.81,2.7
GinP,06A,0223-130708,02 25 09.06,+00 18 05.2,0.3506,19.0,-21.7,0.48,0.03,1.5,0.6
GinP,06B,0223-130707,02 25 09.33,+00 18 04.8,0.3512,20.1,-20.5,0.38,0.04,1.72,-13.7
GinP,07A,0223-191878,02 23 28.45,-00 03 55.1,0.27077,19.2,-20.5,0.0,0.11,0.93,-21.9
GinP,07B,0223-191879,02 23 28.29,-00 03 55.0,0.26942,19.6,-20.2,0.01,0.1,0.89,-13.0
GinP,09A,0223-121099,02 26 17.22,+00 12 46.9,0.38393,19.4,-21.5,0.33,0.06,1.65,-6.9
GinP,09B,0223-121101,02 26 17.09,+00 12 47.3,0.38422,20.6,-20.2,0.66,0.07,1.0,2.8
GinP,10A,0223-030307,02 25 49.16,+00 30 33.1,0.29864,19.1,-21.1,0.48,0.06,1.43,-54.4
GinP,10B,0223-030309,02 25 49.02,+00 30 33.7,0.29794,20.4,-19.6,0.0,0.08,0.84,-48.2
GinP,11A,0223-050675,02 25 55.13,+00 47 18.6,0.27059,19.6,-20.2,0.18,0.11,1.07,-14.2
GinP,11B,0223-050679,02 25 55.59,+00 47 18.9,0.27139,20.5,-19.4,0.38,0.06,1.15,-7.4
GinP,13A,0223-030266,02 25 49.87,+00 30 23.7,0.29945,19.5,-20.7,0.21,0.11,1.32,-21.9
GinP,13B,0223-030259,02 25 49.42,+00 30 21.9,0.29858,19.9,-20.3,0.44,0.06,1.3,-8.3
GinP,14A,0223-031099,02 25 48.86,+00 34 00.2,0.40831,19.6,-20.9,0.08,0.28,0.69,-54.6
GinP,14B,0223-031118,02 25 48.90,+00 34 03.4,0.40707,21.1,-19.3,0.4,0.06,0.37,-59.7
GinP,15A,0223-131144,02 25 25.89,+00 20 06.4,0.30978,20.0,-20.4,0.59,0.05,1.39,-3.5
GinP,15B,0223-131141,02 25 25.82,+00 20 05.8,0.30942,20.2,-20.0,1.0,0.11,1.56,-1.0
